l_star=6 ; regret_mix=0.8351311215108438 ; last_regret=0.9518886177390675
l_star=7 ; regret_mix=0.8988471721854829 ; last_regret=0.9901735046603896
l_star=9 ; regret_mix=0.8711167306736513 ; last_regret=0.9349005219974137
l_star=7 ; regret_mix=0.9267430335454089 ; last_regret=1.0551096331243044
l_star=8 ; regret_mix=0.9867145041576217 ; last_regret=1.0934265426415477
l_star=8 ; regret_mix=0.92180771341513 ; last_regret=1.0328344106291338
l_star=9 ; regret_mix=0.9670277089081459 ; last_regret=1.0614973211203553
l_star=6 ; regret_mix=0.5610084551345125 ; last_regret=0.631921546636388
l_star=7 ; regret_mix=0.8183510757777996 ; last_regret=0.9118723325557823
l_star=8 ; regret_mix=1.0814645371341456 ; last_regret=1.1971272537364743
